Health	health	
AIDS Center of Queens County	http://www.acqc.org/	 The Mission of the AIDS Center of Queens County is, to promote and coordinate the provision of services to persons infected and affected by HIV/AIDS and other blood borne diseases. 
 AIDS Research Foundation (amfAR), New York 	www.amfar.org	 Supports innovative AIDS research; educates patients, doctors, and the public about HIV treatment/prevention; works to protect the rights of all people affected by HIV/AIDS. 
AIDS Service Center NYC	http://www.ascnyc.org/	 AIDS Service Center NYC helps HIV-positive New Yorkers, and those at risk, get a second chance to rebuild their lives. We offer a diverse range of individualized, professional services in a nurturing environment, and include access to healthcare, social services, peer education and safe-practice counseling. 
Alcoholism Council of New York / Fellowship Center of New York	www.alcoholism.org	 Community Outreach services to prevent and reduce the use of alcohol and other drugs through screening, education and referral, serves all five boroughs of NYC. 
 ALS Association, New York 	www.alsaupstateny.org	 Fighting to cure and treat ALS through research; empowering people with Lou Gehrig's Disease and families to live fuller lives by providing care and support.
 
 ALS Association, New York, Greater NY Chapter 	www.als-ny.org	 Raises funds to find a cure for ALS (Lou Gehrig's disease), provides patient and family support services, promotes ALS awareness and advocates for ALS health-related issues. 
 ALS Regional Center, St. Peter's Hospital, New York 	www.sphcs.org	 Secures charitable contributions to support St Peter's Health Care Services, including the ALS Center's programs and services for patients afflicted with Lou Gehrig's disease.

 
 Alzheimer's Association, New York 	www.alz.org	The only national voluntary health organization dedicated to research and to providing support and assistance to people with Alzheimer's disease.
 Alzheimer's Association, New York, Albany 	www.alz.org/northeasternny	 Dedicated to family support, education, research and advocacy.  Provide help today and hope for tomorrow for those impacted by Alzheimer's disease, families and professionals. 
 Alzheimer's Association, New York, CNY Chapter 	www.alzcny.org	Responsible for service delivery to 14 counties in Central New York.  Information regarding the services can be accessed on the Chapters web-site at alzcny.org.
 Alzheimer's Association, New York, Endicott 	www.alzst.cjb.net	 Provides vital services to individuals, families and caregivers living with Alzheimer's disease in our community.  Offices in Syracuse, Binghamton, Utica and Watertown 
 Alzheimer's Association, New York, Leather Stocking Region 	www.alzneny.org	 Dedicated to family support, education, research and advocacy.  Provide help today and hope for tomorrow for those impacted by Alzheimer's disease, families and professionals. 
 Alzheimer's Association, New York, New York 	www.alznyc.org	 Our organization provides family caregiver / early stage patient support, public awareness and educational / training programs, public policy advocacy and supports research all from within NYC. 
 Alzheimer's Association, New York, Northern Office 	www.alzcny.org	 Provides vital services to individuals, families and caregivers living with Alzheimer's disease in our community.  Offices in Syracuse, Binghamton, Utica and Watertown. 
 Alzheimer's Association, New York, Orange/Sullivan Regional Office 	www.alz.org/hudsonvalley	 The largest national health organization dedicated to providing support and assistance to people with dementia, their families and caregivers, and to eliminating Alzheimer's through research. 
 Alzheimer's Association, New York, Poughkeepsie 	www.alz.org/hudsonvalley	 Funds research for the prevention, cure and treatment of Alzheimer's disease and related disorders and provides support and assistance to all affected. 
 Alzheimer's Association, New York, Purchase 	www.alz.org/hudsonvalley	 The largest national health organization dedicated to providing support and assistance to people with dementia, their families and caregivers, and to eliminating Alzheimer's through research. 
 Alzheimer's Association, New York, Ronkonkoma 	www.alz.org/longisland	A non-profit healthcare agency.  We support research to find a cure for Alzheimer's disease and provide resources for families.
 AMC Cancer Research Center, New York 	www.amc.org	National Leader funding the most promising research to prevent and control cancer.  Free counseling line for cancer patients and their families.  Distinguished scientists collaborating nationwide.
 American Diabetes Association, New York 	www.diabetes.org	 Committed to finding a cure for diabetes, improving care, and providing information and support to people with diabetes through research, community programs and advocacy. 
 American Diabetes Association, New York, Albany Office 	www.diabetes.org	 The association's mission is   to prevent and cure diabetes and to improve the lives of all people affected by diabetes   through research, information and advocacy. 
 American Diabetes Association, New York, Amherst Office 	www.diabetes.org	 The association's mission is   to prevent and cure diabetes and to improve the lives of all people affected by diabetes   through research, information and advocacy. 
 American Diabetes Association, New York, Long Island Chapter 	www.diabetes.org	 Funds go to support our mission of helping to improve the lives of those touched by diabetes through research, education, information and advocacy. 
 American Diabetes Association, New York, Rochester Office 	www.diabetes.org	 The association's mission is   to prevent and cure diabetes and to improve the lives of all people affected by diabetes   through research, information and advocacy. 
 American Diabetes Association, New York, Syracuse Office 	www.diabetes.org	 The association's mission is   to prevent and cure diabetes and to improve the lives of all people affected by diabetes   through research, information and advocacy. 
 American Diabetes Association, New York, Utica Office 	www.diabetes.org	 The association's mission is   to prevent and cure diabetes and to improve the lives of all people affected by diabetes   through research, information and advocacy. 
 American Diabetes Association, New York, White Plains Office 	www.diabetes.org	 The association's mission is   to prevent and cure diabetes and to improve the lives of all people affected by diabetes   through research, information and advocacy. 
American Foundation for Suicide Prevention NYC Chapter	http://www.afsp.org/	 The American Foundation for Suicide Prevention (AFSP) is the leading national not-for-profit organization exclusively dedicated to understanding and preventing suicide through research, education and advocacy, and to reaching out to people with mental disorders and those impacted by suicide. 
 American Hearing Research Foundation, New York 	www.american-hearing.org	Raises money for research into hearing loss and balance disorders related to the inner ear and educates the public about these disorders.
 American Kidney Fund, New York 	www.kidneyfund.org	Our nations #1 source of direct financial assistance to kidney patients and is a leader in providing education and outreach to those who are at risk for kidney disease.
 American Kidney Fund, New York, Northeast Region 	www.kidneyfund.org	 The American Kidney Fund provides direct financial assistance to kidney patients in need and education to those with and at risk for kidney disease.
 
American Leprosy Foundation	www.leonardwoodmemorial.org	 Leprosy, one of the world?s oldest diseases, afflicts approximately 2-4 million people worldwide.  Our goal is to eradicate this devastating disease through scientific research. 
