Human Services	human_services	
Bed Stuy Campaign Against Hunger	http://bedstuyagainsthunger.org/	 BedStuy Campaign Against Hunger (BSCAH) operates NYC's largest emergency food pantry. Five days a week, New Yorkers in need visit our SuperPantry in search of free food and support services. We are unique in comparison to your average food pantry because food is selected based on client choice and is run similar to a supermarket. 
 Bowery Mission (Christian Herald Association, Inc.) 	http://www.bowery.org/	 The Bowery Mission has served homeless and hungry New Yorkers since 1879, when its neighborhood came to define the term   skid row.    Our children's programs, called Kids With A Promise, serve at-risk youth and began in 1894 by giving the children of recent immigrants the chance to escape the tenements in the summer. 
Bowery Residents Committee (BRC) Inc.	http://www.brc.org/	BRC is today a leading provider of housing and services to well over ten thousand of New York City's neediest individuals.
Bridge Fund of New York City	http://thebridgefund.org/TBF_NYC.html	The Bridge Fund combines sound business practices with effective and compassionate programs to prevent homelessness among the working poor.
Bridge Street A.M.E. Missionary Free-Food Program	http://www.bridgestreetawmechurch.org/community-outreach/bs-community-corp/programs-6	 The Bridge Street Missionary Free Food Program was established in 1990. The program has provided over 200,000 meals since its inception. Referral services are provided to identify individuals. 
Career Gear	http://careergear.org/ClothingDonation.html	 Today providing suits for a job interview is just the first step. We now deliver much-needed job retention and advancement coaching, helping our clients to build on their achievements and continue their upward path. 
 City Harvest, Inc. 	http://www.cityharvest.org/	 Now serving New York City for more than 25 years, City Harvest is the world's first food rescue organization, dedicated to feeding the city's hungry men, women, and children. 
Coalition for the Homeless	http://www.coalitionforthehomeless.org/	 Coalition for the Homeless is the nation's oldest advocacy and direct service organization helping homeless men, women, and children. We are dedicated to the principle that affordable housing, sufficient food, and the chance to work for a living wage are fundamental rights in a civilized society. 
Community Mediation Services	http://mediatenyc.org/	 Community Mediation Services, Inc. in Queens, NY has a holistic approach to conflict resolution that touches many thousands of people each year. 
Covenant House / Under 21	http://www.covenanthouseny.org/	 Homeless youth that enter Covenant House are immediately offered a hot meal, shower, change of clothes, and, a warm, clean bed. After their immediate needs are met, we offer multiple supportive services at our facility that help us achieve our goal to empower our kids to work towards economic independence, and break the cycle of homelessness. 
Food Bank for New York City/Food Change	http://www.foodbanknyc.org/	 Food Bank For New York City recognizes 29 years as the city's major hunger-relief organization working to end food poverty throughout the five boroughs. As one of the country's largest food banks, our mission is to end hunger in New York City by organizing food, information and support for community survival and dignity. 
Freedom From Hunger	www.freedomfromhunger.org	 Combines microfinance services with education in health, nutrition and business to fight chronic hunger and poverty in poor rural areas of the developing world. 
Friends of Firefighters	http://www.friendsoffirefighters.org/fof/	 Friends of Firefighters is dedicated to addressing the physical, mental health, and wellness needs of New York City's firefighters and their families. Our ongoing mission is to provide long-term support and services through confidential counseling, wellness services, and other assistance required by firefighters and their families. 
Gay Men's Health Crisis	http://www.gmhc.org/	 GMHC is the world's first and leading provider of HIV/AIDS prevention, care and advocacy. Building on decades of dedication and expertise, we understand the reality of HIV/AIDS and empower a healthy life for all. 
Homes for the Homeless	http://www.hfhnyc.org/	 At Homes for the Homeless, our mission is to provide homeless families with the opportunities and support necessary to move out of shelter and live independently. 
Housing Works	http://housingworks.org/	 Housing Works is a healing community of people living with and affected by HIV/AIDS. Our mission is to end the dual crises of homelessness and AIDS through relentless advocacy, the provision of lifesaving services, and entrepreneurial businesses that sustain our efforts. 
iVolunteer		
Leave Out Violence U.S. (LOVE)	http://www.leaveoutviolence-us.org/	 LOVE is a non-profit after school program that serves at risk youth who are victims, survivors, witnesses and/or perpetrators of violence. 
 Love Kitchen, Inc. 	http://www.thelovekitchen.org/index.php	 The Love Kitchen provides meals, clothing and emergency food packages to homebound, homeless and unemployed persons. 
New York City Coalition Against Hunger	http://www.nyccah.org/	 The New York City Coalition Against Hunger is the voice for the more than 1,100 nonprofit soup kitchens and food pantries in New York City and the 1.5 million low-income New Yorkers who live in homes that can't afford enough food. 
PATH	www.path.org	 Poor communities have the right to safer childbirth, life-saving vaccines, and lives free from AIDS, tuberculosis, and malaria. We create solutions for better health. 
Plan USA	www.planusa.org	 Founded in 1937, Plan USA works with children and families affected by poverty.  Plan is a global, nonprofit, humanitarian organization without political or religious affiliation. 
Planned Parenthood Federation of America- International	www.plannedparenthood.org	 Supports sexual and reproductive health programs in the developing world, in partnership with local nongovernmental organizations, that promote women?s reproductive health, freedom and dignity.  
 Salvation Army of Greater New York, The 	http://www.use.salvationarmy.org/gnyd	 The Salvation Army is an international, faith-based charitable organization with a simple mission: to help those in need without discrimination. 
Save the Children	www.savethechildren.org	Save the Children is the leading independent organization creating lasting change for children in need in the U.S. and around the world.
The Trevor Project	http://www.thetrevorproject.org/	 The Trevor Project is the leading national organization providing crisis intervention and suicide prevention services to lesbian, gay, bisexual, transgender and questioning (LGBTQ) youth. 
United Way of New York City	http://www.unitedwaynyc.org/	 We're fighting poverty by working to make sure low-income people get the support services they need right now, while simultaneously driving real, system-wide change in our community. 
		
		
